features_sorted,feature_names_EWRE
3579,never
5813,university
6008,watch
1872,everyone
3424,miss
2212,friendship
1224,country
240,apart
476,bed
2304,get
3179,longer
300,arrive
4768,school
809,catch
3098,less
1144,contact
6059,whether
5251,stomach
684,bubble
1819,entire
3573,netball
2209,friend
5468,team
5949,visit
5547,though
2598,hour
2542,hit
4948,sick
989,coffee
5220,stay
3210,lunch
6006,waste
3341,meeting
2722,include
4287,quite
976,club
4003,plan
3691,office
4361,reassure
640,breakfast
2364,grandmother
1251,create
1720,effect
4556,respond
4989,sister
2247,funding
716,busy
5613,ton
5141,specific
4838,send
5299,study
1481,diet
1218,counsel
5872,usual
2614,hugely
1959,eye
6001,wash
313,ashamed
2477,head
5134,speak
3608,none
4933,shower
193,amount
168,also
444,base
1229,course
4670,run
5754,uncertainty
2011,fault
593,book
4557,response
3104,letter
2613,huge
1034,common
3048,law
3915,performance
882,chest
1580,distressed
1669,drunk
5463,tea
4169,probably
1059,complete
3846,participate
2659,ignore
4763,schedule
2329,go
1363,decide
1824,entry
6121,worry
5006,skype
5455,task
1911,exhaust
2138,food
2895,irritable
749,camera
3711,online
1478,didst
1700,eat
79,addition
6031,wednesday
3816,pandemic
1500,dinner
945,clean
6035,weekend
6117,workout
1004,colleague
5877,vaccine
2024,feed
1848,establish
706,burglary
2346,government
5958,voice
4384,record
5257,store
2233,fuck
3178,long
5328,sudden
613,bother
3914,perform
114,afternoon
229,anxiety
4456,relax
3251,manager
4155,primary
4485,remind
849,chance
1764,emergency
3335,medication
4438,regularly
6092,within
4344,realisation
71,adapt
3602,noise
2355,graduation
4454,relative
317,ask
4293,race
5484,tell
2444,handle
5369,supervisor
4343,real
927,circumstance
5293,structure
1841,escape
3147,little
1474,diary
5697,trip
3093,length
3202,low
2299,genuinely
4366,recall
2860,interview
3862,past
4956,sign
2605,housework
2468,hat
1311,cycle
3805,pad
2481,headphone
112,afraid
1511,disagree
1174,conversation
3122,light
3522,mutual
572,blow
64,activity
3087,leisure
4227,provide
5775,understand
2878,invite
3042,laugh
3942,phase
2211,friends
825,celebration
115,afterwards
5168,sport
214,announcement
2194,freely
5972,wait
3613,normal
4014,play
4777,scotland
5753,uncertain
2831,intensely
148,alert
797,case
4407,redundant
5445,talk
81,address
3701,old
1660,drive
3351,memory
1439,desk
2452,happen
2600,household
639,breakdown
4837,seminar
1290,cup
93,adult
4341,ready
1768,emotionally
4126,prepare
2066,fine
4806,secondary
824,celebrate
3057,leader
5100,sometimes
399,back
5571,tier
1134,constant
1640,drama
5662,transfer
2784,initially
2401,grocery
5980,wall
5524,thanks
1571,distance
1203,corona
1045,company
4704,salary
5849,unworthy
255,appearance
2979,kill
3141,list
4348,reality
73,add
546,black
43,accumulate
902,choose
653,brick
2094,flatmate
6084,winter
2129,focused
1809,enough
3495,move
1431,describe
4875,severely
400,background
5977,walk
3028,language
1574,distant
5973,waite
1399,delayed
3844,partially
1280,crush
3204,luck
2880,involve
4490,remote
3615,normality
5279,stretch
6127,worth
1870,everybody
3547,nearly
85,adjustment
3010,lab
5515,text
605,boring
2729,inconsiderate
3346,meltdown
1553,dismiss
1329,dangerous
2936,join
2593,hot
4160,priority
233,anymore
4140,pressure
3726,opt
1820,entirely
1682,dwell
747,calorie
2972,keywords
1072,compromise
3539,nature
538,birthday
4521,required
2141,foot
3371,message
3243,male
4867,set
2360,grandchild
503,belong
955,client
1988,family
1185,cooking
5022,slight
5149,spend
2735,incredibly
3565,nephew
4579,retreat
1664,drop
6023,weather
3641,nowhere
2264,game
2755,indoors
940,class
5806,union
1570,dissociative
2991,kitchen
1881,exactly
5922,video
5012,sleep
1948,extended
5785,uneasy
821,cd
4994,six
5942,virus
5071,socialize
2538,hire
3142,listen
5713,tuesday
772,card
1459,devastate
2149,foreigner
5214,station
6110,word
1179,convince
1843,essay
2999,knit
975,clothing
5373,support
141,alarm
2896,irritate
4013,platform
2433,half
371,autistic
4180,productive
898,chloe
559,blend
1630,downstairs
107,affection
2866,introvert
2263,gamble
3158,local
3077,left
377,available
4327,rate
3004,knowledge
251,apparent
2566,honest
1180,cook
2990,kiss
664,brings
931,city
2968,kent
1486,different
3229,mainly
752,camp
4224,proud
5109,sore
3478,morning
1091,condition
2419,guideline
2431,hair
1908,exercise
722,buy
6076,willingness
1046,compare
1671,dry
3597,nightmare
5303,stupid
647,breathing
6028,wed
3175,loneliness
4929,shoulder
163,along
2823,integral
4272,que
3470,mood
5493,ten
5510,terror
5573,tight
1094,conference
4656,round
129,ahead
2405,group
3419,misdiagnosed
4825,seizure
1858,european
5473,technical
4831,selfish
137,aisle
2599,house
3830,paralysis
5112,soul
2482,heal
1918,existential
192,amongst
2189,freak
4876,severity
2226,frustrate
2061,finance
5578,till
3558,negativity
3032,largely
2732,increase
1421,dependent
3769,overeat
262,apply
4040,pointless
1436,deserving
4666,ruin
4983,sink
1846,essentially
1017,come
5772,underlying
3444,mode
14,absolutely
2702,impotent
4192,programme
1359,decade
3554,need
4513,report
506,beneficial
5192,stake
2363,grandma
2586,horse
5610,tomato
4916,shock
3253,manchester
5551,threat
804,cat
5187,stag
1727,egg
4636,roll
4248,punch
1173,conventional
3395,million
1805,enjoyed
3126,like
4210,proportion
756,cancel
910,chris
372,auto
2321,globalization
5065,social
5883,validate
5715,tuition
1187,cool
4990,sit
5241,still
2946,juggle
1225,countryside
4154,pride
3785,overtime
230,anxious
2034,fertility
3620,norway
5660,transcribe
3506,multiple
2511,hello
1116,connection
523,bicker
1512,disagreement
2857,interrupts
5803,unintentional
1840,escalate
2015,fear
335,assume
645,breathe
5127,spare
3174,london
2683,impact
3356,meningitis
3007,korean
3073,lecture
2188,frantically
1786,encourage
1525,disciplinary
3695,offline
1594,dizzy
4375,recite
2656,ifs
1817,entertainment
4759,scene
1568,dissociate
4664,rubbish
2824,integrate
2676,immigrant
3391,milestone
619,boundary
6104,wont
2073,first
1338,david
696,bullshit
2549,hobby
5184,stability
1060,completely
2228,frustrating
2318,glass
4981,single
965,close
2573,hop
2016,fearful
333,associate
1418,depend
977,clue
5068,socialising
4790,scroll
3541,navigate
2103,flexible
1533,discouraging
6010,water
1069,compound
3675,occasion
1965,facebook
1041,commute
5273,strength
5771,underline
3838,park
3743,original
5645,trace
235,anything
2063,financially
468,beat
2837,intercalate
925,circle
5564,thursday
1753,email
2014,favourite
781,careful
3806,page
4950,sickness
2447,hang
6102,wonder
5703,true
5104,song
1937,explain
2666,image
35,accommodate
657,briefly
4408,reel
3101,lesson
2055,film
5845,unusual
231,anybody
1827,episode
5462,taxi
1042,commuting
1122,conservative
2767,infection
4047,policy
2576,hopefully
731,cafe
1268,crochet
2143,football
4922,shopping
4874,severe
4141,pressurise
5623,topic
289,arise
5360,sunday
4607,ridiculous
2810,instantly
1214,couch
4927,shortly
1701,eating
56,acquaintance
1267,criticise
5733,twice
4998,ski
3586,news
5413,sweet
4563,restless
3712,onto
5248,stir
4667,rule
3863,pasta
1977,fairly
6145,yeah
4842,sensible
1166,contrast
4475,relived
998,cold
1024,coming
2727,incompetence
2068,finish
5732,twenty
4839,senior
4642,roof
1538,discussion
3459,monday
1397,dehydrate
3622,nose
5823,unnatural
3408,minimise
2814,instinct
3966,picture
4844,sensitivity
1410,demonstrate
4448,relapse
1597,document
5081,soft
3183,loom
3270,manual
3500,much
5423,switch
1882,exaggerate
4174,process
4035,podcast
1944,express
4360,reassurance
5804,uninvited
5313,submit
2645,id
4077,post
5653,train
1426,depressing
1299,current
1141,consultation
1638,drain
2514,helpfulness
5952,visualise
1062,complex
5783,unease
2711,improvise
3457,momentarily
1643,drastically
2803,inspiration
4714,sane
3001,knock
681,brush
3837,paris
4492,remove
80,additional
3477,moreover
5269,strategy
627,boyfriend
323,assault
6060,whichever
1723,effectively
1610,door
5559,throw
3458,mon
2465,harsh
6027,website
4137,president
5379,surface
4195,project
5591,tired
2504,hectic
1878,evolve
