features_sorted,feature_names_EW
1669,drunk
235,anything
4287,quite
2015,fear
1764,emergency
5293,structure
4768,school
882,chest
2659,ignore
229,anxiety
849,chance
313,ashamed
300,arrive
2011,fault
1862,even
1229,course
5220,stay
4948,sick
6006,waste
3126,like
5539,think
3573,netball
2452,happen
5100,sometimes
2542,hit
3179,longer
2364,grandmother
1819,entire
5241,still
684,bubble
5134,speak
6131,would
5949,visit
5754,uncertainty
6121,worry
5468,team
6059,whether
5251,stomach
240,apart
1720,effect
2212,friendship
1144,contact
5484,tell
3098,less
5813,university
3424,miss
1224,country
3579,never
1872,everyone
3816,pandemic
