features_sorted,feature_names_CTR
1843,essay
3838,park
5598,today
804,cat
3142,listen
4337,read
3574,netflix
681,brush
809,catch
5012,sleep
319,asleep
3341,meeting
6031,wednesday
2329,go
3588,next
6010,water
5455,task
913,christmas
141,alarm
741,call
6117,workout
4341,ready
5480,teeth
4126,prepare
4837,seminar
5463,tea
3964,pick
1753,email
4644,room
4169,probably
2264,game
1700,eat
4014,play
2598,hour
4933,shower
3478,morning
6001,wash
989,coffee
593,book
2068,finish
295,around
5977,walk
3413,minute
3210,lunch
4003,plan
5976,wake
1500,dinner
476,bed
640,breakfast
6008,watch
