features_sorted,feature_names_EWRE
6039,weight
1479,die
2248,funeral
4568,restriction
5600,toe
6016,way
541,bit
254,appear
1425,depressed
1233,cousin
5276,stressed
4345,realise
4426,refuse
1427,depression
3903,people
3152,living
21,academic
3519,must
4286,quit
5137,special
1346,deal
487,begin
3955,physically
264,appreciate
2983,kind
2382,great
3117,life
1713,edge
1135,constantly
3467,month
1318,dad
1766,emotion
5857,upon
1377,deep
4618,risk
5758,uncle
4039,point
3065,learn
5987,want
2455,happy
2031,felt
779,career
2026,feel
2414,guess
1334,date
1236,covid
1931,experience
3162,lockdown
2064,find
1788,end
