,words,vals,day,group
0,pandemic,62,1,EW
1,much,46,1,EW
2,able,37,1,EW
3,bad,35,1,EW
4,due,33,1,EW
5,lockdown,33,1,EW
6,good,31,1,EW
7,many,27,1,EW
8,live,26,1,EW
9,u,25,1,EW
10,hard,23,1,EW
11,social,23,1,EW
12,last,22,1,EW
13,different,20,1,EW
14,new,16,1,EW
15,sad,15,1,EW
16,happen,15,1,EW
17,first,15,1,EW
18,close,14,1,EW
19,long,14,1,EW
20,know,14,1,EW
21,happy,13,1,EW
22,next,13,1,EW
23,sure,13,1,EW
24,best,12,1,EW
25,uni,12,1,EW
26,difficult,12,1,EW
27,anxious,11,1,EW
28,mum,11,1,EW
29,little,11,1,EW
30,old,11,1,EW
31,low,10,1,EW
32,whole,10,1,EW
33,mean,10,1,EW
34,affect,10,1,EW
35,miss,9,1,EW
36,right,9,1,EW
37,great,9,1,EW
38,give,9,1,EW
39,lose,9,1,EW
40,upset,8,1,EW
41,safe,8,1,EW
42,possible,8,1,EW
43,important,8,1,EW
44,big,8,1,EW
45,stay,8,1,EW
46,bubble,8,1,EW
47,easy,8,1,EW
48,future,8,1,EW
49,final,8,1,EW
50,much,45,2,EW
51,pandemic,38,2,EW
52,able,36,2,EW
53,good,30,2,EW
54,bad,25,2,EW
55,many,22,2,EW
56,new,20,2,EW
57,lockdown,18,2,EW
58,difficult,16,2,EW
59,hard,16,2,EW
60,whole,15,2,EW
61,last,15,2,EW
62,due,15,2,EW
63,different,14,2,EW
64,lose,14,2,EW
65,happy,13,2,EW
66,long,13,2,EW
67,first,13,2,EW
68,sad,13,2,EW
69,best,13,2,EW
70,current,13,2,EW
71,live,12,2,EW
72,right,11,2,EW
73,big,11,2,EW
74,angry,11,2,EW
75,social,11,2,EW
76,write,10,2,EW
77,start,10,2,EW
78,know,10,2,EW
79,possible,9,2,EW
80,emotional,9,2,EW
81,great,9,2,EW
82,enough,9,2,EW
83,less,9,2,EW
84,uni,9,2,EW
85,wrong,8,2,EW
86,stress,8,2,EW
87,little,8,2,EW
88,normal,8,2,EW
89,upset,8,2,EW
90,u,8,2,EW
91,want,8,2,EW
92,full,8,2,EW
93,true,8,2,EW
94,covid,8,2,EW
95,afraid,8,2,EW
96,daily,7,2,EW
97,stressful,7,2,EW
98,come,7,2,EW
99,happen,7,2,EW
100,pandemic,42,3,EW
101,able,39,3,EW
102,bad,29,3,EW
103,much,27,3,EW
104,last,23,3,EW
105,sad,21,3,EW
106,lockdown,19,3,EW
107,new,19,3,EW
108,good,18,3,EW
109,different,17,3,EW
110,long,16,3,EW
111,mental,15,3,EW
112,many,15,3,EW
113,live,15,3,EW
114,little,14,3,EW
115,stressful,14,3,EW
116,difficult,14,3,EW
117,angry,13,3,EW
118,give,13,3,EW
119,due,13,3,EW
120,whole,13,3,EW
121,anxious,12,3,EW
122,hard,12,3,EW
123,next,12,3,EW
124,sure,12,3,EW
125,u,11,3,EW
126,first,11,3,EW
127,upset,10,3,EW
128,social,10,3,EW
129,close,10,3,EW
130,guilty,10,3,EW
131,previous,10,3,EW
132,normal,10,3,EW
133,happen,9,3,EW
134,unable,9,3,EW
135,know,9,3,EW
136,future,9,3,EW
137,right,9,3,EW
138,positive,9,3,EW
139,panic,8,3,EW
140,want,8,3,EW
141,old,8,3,EW
142,happy,7,3,EW
