,words,vals,day,group
0,time,130,1,EW
1,year,82,1,EW
2,family,80,1,EW
3,people,78,1,EW
4,work,75,1,EW
5,home,73,1,EW
6,feel,66,1,EW
7,day,64,1,EW
8,thing,56,1,EW
9,life,54,1,EW
10,friend,48,1,EW
11,job,47,1,EW
12,situation,39,1,EW
13,lot,39,1,EW
14,house,35,1,EW
15,way,31,1,EW
16,anything,29,1,EW
17,try,29,1,EW
18,week,28,1,EW
19,month,28,1,EW
20,something,27,1,EW
21,help,25,1,EW
22,get,25,1,EW
23,relationship,24,1,EW
24,person,23,1,EW
25,parent,23,1,EW
26,experience,23,1,EW
27,everyone,22,1,EW
28,university,22,1,EW
29,country,21,1,EW
30,everything,20,1,EW
31,start,19,1,EW
32,stress,19,1,EW
33,group,18,1,EW
34,member,18,1,EW
35,change,17,1,EW
36,anyone,17,1,EW
37,hour,17,1,EW
38,course,17,1,EW
39,someone,17,1,EW
40,u,17,1,EW
41,issue,16,1,EW
42,partner,16,1,EW
43,sport,16,1,EW
44,end,15,1,EW
45,move,15,1,EW
46,health,14,1,EW
47,phone,14,1,EW
48,talk,14,1,EW
49,world,14,1,EW
50,time,93,2,EW
51,people,81,2,EW
52,work,80,2,EW
53,job,79,2,EW
54,thing,61,2,EW
55,feel,59,2,EW
56,life,51,2,EW
57,home,50,2,EW
58,situation,40,2,EW
59,something,37,2,EW
60,way,37,2,EW
61,day,36,2,EW
62,lot,33,2,EW
63,year,33,2,EW
64,person,30,2,EW
65,try,30,2,EW
66,friend,26,2,EW
67,get,23,2,EW
68,someone,23,2,EW
69,week,23,2,EW
70,look,22,2,EW
71,member,22,2,EW
72,everything,21,2,EW
73,help,19,2,EW
74,family,18,2,EW
75,support,18,2,EW
76,think,17,2,EW
77,anyone,16,2,EW
78,anything,16,2,EW
79,tell,16,2,EW
80,month,16,2,EW
81,everyone,16,2,EW
82,part,16,2,EW
83,felt,15,2,EW
84,yesterday,15,2,EW
85,change,15,2,EW
86,team,15,2,EW
87,point,14,2,EW
88,stress,14,2,EW
89,world,14,2,EW
90,loss,14,2,EW
91,manager,14,2,EW
92,health,13,2,EW
93,house,13,2,EW
94,relationship,13,2,EW
95,talk,13,2,EW
96,sense,13,2,EW
97,pay,13,2,EW
98,event,13,2,EW
99,experience,12,2,EW
100,time,114,3,EW
101,work,76,3,EW
102,day,66,3,EW
103,people,58,3,EW
104,thing,58,3,EW
105,feel,55,3,EW
106,year,54,3,EW
107,life,45,3,EW
108,home,44,3,EW
109,job,35,3,EW
110,friend,34,3,EW
111,situation,34,3,EW
112,family,31,3,EW
113,lot,31,3,EW
114,way,26,3,EW
115,help,24,3,EW
116,something,23,3,EW
117,someone,23,3,EW
118,get,22,3,EW
119,week,22,3,EW
120,parent,22,3,EW
121,member,21,3,EW
122,change,21,3,EW
123,month,19,3,EW
124,money,19,3,EW
125,health,18,3,EW
126,everything,17,3,EW
127,course,17,3,EW
128,house,17,3,EW
129,talk,16,3,EW
130,anything,16,3,EW
131,everyone,16,3,EW
132,think,16,3,EW
133,today,14,3,EW
134,ask,14,3,EW
135,issue,14,3,EW
136,pay,14,3,EW
137,school,14,3,EW
138,moment,13,3,EW
139,night,13,3,EW
140,company,13,3,EW
141,covid,13,3,EW
142,try,12,3,EW
143,others,12,3,EW
144,place,12,3,EW
145,head,12,3,EW
146,visit,12,3,EW
147,team,12,3,EW
148,need,11,3,EW
149,struggle,11,3,EW
150,time,99,4,EW
151,thing,82,4,EW
152,feel,62,4,EW
153,people,53,4,EW
154,day,46,4,EW
155,work,45,4,EW
156,life,39,4,EW
157,friend,38,4,EW
158,family,35,4,EW
159,home,34,4,EW
160,member,33,4,EW
161,job,31,4,EW
162,situation,28,4,EW
163,year,28,4,EW
164,anything,27,4,EW
165,team,25,4,EW
166,something,23,4,EW
167,way,23,4,EW
168,someone,23,4,EW
169,month,23,4,EW
170,lot,22,4,EW
171,everything,20,4,EW
172,place,19,4,EW
173,week,18,4,EW
174,get,18,4,EW
175,think,17,4,EW
176,person,17,4,EW
177,experience,17,4,EW
178,decision,17,4,EW
179,relationship,17,4,EW
180,everyone,16,4,EW
181,health,15,4,EW
182,talk,15,4,EW
183,course,15,4,EW
184,try,15,4,EW
185,make,15,4,EW
186,partner,14,4,EW
187,money,14,4,EW
188,help,14,4,EW
189,change,14,4,EW
190,covid,14,4,EW
191,house,14,4,EW
192,stress,13,4,EW
193,event,13,4,EW
194,country,12,4,EW
195,support,12,4,EW
196,reason,12,4,EW
197,part,12,4,EW
198,parent,12,4,EW
199,future,11,4,EW
200,time,123,1,EWRE
201,work,100,1,EWRE
202,day,87,1,EWRE
203,people,87,1,EWRE
204,thing,78,1,EWRE
205,job,72,1,EWRE
206,feel,68,1,EWRE
207,year,54,1,EWRE
208,home,51,1,EWRE
209,life,51,1,EWRE
210,family,47,1,EWRE
211,week,42,1,EWRE
212,lot,41,1,EWRE
213,start,36,1,EWRE
214,situation,35,1,EWRE
215,way,31,1,EWRE
216,try,31,1,EWRE
217,covid,29,1,EWRE
218,get,28,1,EWRE
219,month,28,1,EWRE
220,everything,27,1,EWRE
221,member,27,1,EWRE
222,something,26,1,EWRE
223,person,26,1,EWRE
224,end,25,1,EWRE
225,help,24,1,EWRE
226,call,23,1,EWRE
227,point,23,1,EWRE
228,issue,22,1,EWRE
229,health,21,1,EWRE
230,someone,21,1,EWRE
231,friend,20,1,EWRE
232,use,20,1,EWRE
233,anything,20,1,EWRE
234,experience,20,1,EWRE
235,moment,20,1,EWRE
236,relationship,20,1,EWRE
237,think,19,1,EWRE
238,place,19,1,EWRE
239,parent,18,1,EWRE
240,phone,18,1,EWRE
241,house,18,1,EWRE
242,look,17,1,EWRE
243,night,17,1,EWRE
244,event,17,1,EWRE
245,mind,16,1,EWRE
246,care,15,1,EWRE
247,deal,15,1,EWRE
248,kind,15,1,EWRE
249,cause,14,1,EWRE
250,time,132,2,EWRE
251,thing,87,2,EWRE
252,feel,84,2,EWRE
253,people,80,2,EWRE
254,work,69,2,EWRE
255,life,65,2,EWRE
256,way,51,2,EWRE
257,day,51,2,EWRE
258,lot,47,2,EWRE
