,words,vals,day,group
0,go,127,1,EW
1,get,97,1,EW
2,make,92,1,EW
3,think,74,1,EW
4,feel,70,1,EW
5,felt,57,1,EW
6,know,49,1,EW
7,see,48,1,EW
8,want,45,1,EW
9,say,41,1,EW
10,take,39,1,EW
11,find,32,1,EW
12,come,31,1,EW
13,leave,30,1,EW
14,try,23,1,EW
15,need,22,1,EW
16,friend,20,1,EW
17,feeling,18,1,EW
18,look,16,1,EW
19,start,16,1,EW
20,happen,15,1,EW
21,seem,15,1,EW
22,become,15,1,EW
23,live,14,1,EW
24,tell,14,1,EW
25,spend,14,1,EW
26,move,13,1,EW
27,keep,12,1,EW
28,give,11,1,EW
29,stay,10,1,EW
30,lose,10,1,EW
31,put,10,1,EW
32,believe,9,1,EW
33,work,9,1,EW
34,expect,9,1,EW
35,worry,8,1,EW
36,begin,8,1,EW
37,call,8,1,EW
38,attend,8,1,EW
39,mean,8,1,EW
40,beginning,7,1,EW
41,affect,7,1,EW
42,lockdown,7,1,EW
43,love,7,1,EW
44,include,7,1,EW
45,help,6,1,EW
46,focus,6,1,EW
47,watch,6,1,EW
48,thought,6,1,EW
49,check,6,1,EW
50,go,88,2,EW
51,make,76,2,EW
52,feel,75,2,EW
53,think,74,2,EW
54,get,70,2,EW
55,want,67,2,EW
56,know,64,2,EW
57,felt,53,2,EW
58,say,39,2,EW
59,see,38,2,EW
60,take,32,2,EW
61,keep,28,2,EW
62,seem,25,2,EW
63,try,24,2,EW
64,happen,23,2,EW
65,leave,23,2,EW
66,come,23,2,EW
67,find,19,2,EW
68,feeling,18,2,EW
69,lose,18,2,EW
70,friend,16,2,EW
71,believe,15,2,EW
72,put,15,2,EW
73,tell,14,2,EW
74,become,12,2,EW
75,worry,12,2,EW
76,look,12,2,EW
77,thought,11,2,EW
78,start,11,2,EW
79,work,10,2,EW
80,consider,10,2,EW
81,need,9,2,EW
82,spend,9,2,EW
83,hurt,9,2,EW
84,understand,8,2,EW
85,end,8,2,EW
86,turn,8,2,EW
87,give,8,2,EW
88,help,7,2,EW
89,decide,7,2,EW
90,stay,7,2,EW
91,move,7,2,EW
92,apply,7,2,EW
93,realise,6,2,EW
94,let,6,2,EW
95,worried,6,2,EW
96,ask,6,2,EW
97,run,6,2,EW
98,hold,6,2,EW
99,pay,6,2,EW
100,go,98,3,EW
101,feel,70,3,EW
102,make,69,3,EW
103,get,69,3,EW
104,think,68,3,EW
105,know,63,3,EW
106,see,43,3,EW
107,felt,37,3,EW
108,want,33,3,EW
109,take,32,3,EW
110,come,31,3,EW
111,say,29,3,EW
112,leave,20,3,EW
113,find,19,3,EW
114,need,18,3,EW
115,believe,15,3,EW
116,try,15,3,EW
117,put,15,3,EW
118,tell,14,3,EW
119,keep,14,3,EW
120,feeling,12,3,EW
121,start,11,3,EW
122,seem,10,3,EW
123,lose,10,3,EW
124,live,9,3,EW
125,friend,9,3,EW
126,happen,9,3,EW
127,become,9,3,EW
128,continue,9,3,EW
129,stay,9,3,EW
130,look,8,3,EW
131,turn,8,3,EW
132,let,7,3,EW
133,spend,7,3,EW
134,lockdown,6,3,EW
135,work,6,3,EW
136,move,6,3,EW
137,talk,5,3,EW
138,miss,5,3,EW
139,worry,5,3,EW
140,expect,5,3,EW
141,understand,5,3,EW
142,consider,5,3,EW
